id,job_title,skills
338,Finance Accounting & Tax Officer,"['microsoft office', 'microsoft excel', 'account payable', 'finance']"
339,Design Grafis,"['graphic design', 'visual design', 'adobe after effect', 'communication', 'utilize software', 'software', 'creative suite', 'illustrator', 'sketchup']"
342,Barge Engineer,"['operation maintenance', 'maintenance plan', 'att', 'barge', 'special certificate']"
343,HR Assistant,"['industrial relation', 'employee relation', 'employee engagement', 'human resource management', 'resource management', 'calculating', 'onboarding', 'activity support', 'psychology']"
345,Digital Marketing (Penjualan B2C),"['sale territory', 'google ad', 'value proposition', 'analytical thinking', 'problem solve', 'government', 'conservation program', 'targeting', 'new business', 'targets', 'collaborate', 'product development', 'supervise', 'transaction process', 'refine', 'scalability', 'plan execute', 'execute strategies', 'sales performance', 'sales', 'ads', 'persona', 'communication skill', 'presentation', 'innovation']"
346,Maintenance Supervisor,"['preventive maintenance', 'employee relation', 'pharmaceutical manufacturing', 'lean manufacturing', 'total productive maintenance', 'machine tools', 'support activities', 'support production', 'mechanical', 'electrical', 'mechanics', 'drawing', 'troubleshooting']"
349,Mandarin Translator & Interpreter,"['chinese literature', 'self discipline', 'coordination', 'enthusiasm', 'translator', 'reading', 'communication skills', 'english', 'cooperation', 'recruitment process']"
350,Procurement Manager,"['reduce expense', 'negotiation strategy', 'market trend', 'scenario analysis', 'industrial engineering', 'mechanical engineering', 'procurement management', 'management system', 'warehouse management', 'warehouse management system', 'organizational skill', 'problem solve', 'erp', 'purchasing', 'procurement', 'controlling inventory', 'planning', 'purchases', 'managing purchase', 'operate', 'timeline', 'corrective action', 'plans', 'managing', 'forecast', 'price market', 'supply power', 'reliable', 'risk', 'risk risks', 'economics', 'accounting', 'management', 'managing cost', 'purchase', 'logistic', 'resourceful', 'teamwork', 'negotiation', 'analytical', 'communication']"
352,"Finance, Accounting, & Tax Supervisor","['verbal communication skill', 'microsoft office', 'financial accounting', 'account payable', 'internal control', 'financial statement', 'annual report', 'generally accept accounting principle', 'external auditor', 'corporate tax', 'tax return', 'economics', 'finance', 'accountancy', 'banking', 'business management', 'business studies', 'management', 'english', 'audit', 'accounting', 'operations', 'accounting functions', 'financial reporting standards', 'budget', 'budgets', 'coordinates', 'documented system', 'government']"
354,Business Analyst and Development,"['business analysis', 'market trend', 'business administration', 'microsoft office', 'write communication', 'market research', 'crm', 'collaborate', 'revise', 'presenting', 'sales', 'communicate', 'research', 'data analysis', 'analysis skills', 'presentation', 'forecasting', 'analytical', 'cross functional teams']"
356,Project Manager Construction,"['project management', 'project management software', 'operating system', 'verbal communication skill', 'project manager', 'budget', 'plan', 'stage', 'bids', 'construction site', 'management professional', 'business management']"
359,MARKETING SPECIALIST,"['food', 'media marketing', 'marketing instagram', 'tiktok', 'promo']"
362,Regional Controller (Contract),"['financial statement', 'audit process', 'controlling financial', 'audit reports', 'accounting', 'management', 'audit', 'communication', 'gd', 'recruitment process']"
363,ME Inspector (Highrise Building),"['quality control', 'mechanical engineering', 'electrical engineering', 'mechanical electrical plumbing', 'installation', 'consultant', 'electrical inspector', 'computer program']"
364,STRUCTURE ENGINEER (PROJECT BIODISEL),"['engineering civil', 'office sap', 'non', 'engineer civil', 'construction']"
365,Senior Data Scientist (IT),"['computer science', 'big datum', 'machine learn', 'analytical', 'python', 'sql', 'hive']"
369,Admin Specialist,"['business administration', 'data processing', 'analytical skill', 'problem solve', 'administrative support', 'sales', 'marketing database', 'budget controlling', 'finance', 'banking', 'analytical', 'working environment', 'professional development', 'remuneration']"
371,Social Media Marketing,"['social medium', 'social medium analytic', 'web traffic', 'brand awareness', 'seo', 'tiktok', 'engagement customer', 'image', 'tracking', 'research', 'cook', 'trustworthy']"
372,PPIC (Production Planning and Inventory Control),"['abc analysis', 'safety stock', 'supply chain', 'sales', 'forecasting', 'manager', 'food', 'production daily', 'production planning', 'fifo', 'system sap']"
374,Bancassurance Life Consultant - (Padang),"['consultant', 'brand', 'bank', 'promo', 'sales']"
375,DIGITAL MARKETING,"['digital marketing', 'adobe photoshop', 'adobe illustrator', 'social medium', 'crm', 'data marketing', 'google analytics', 'draw']"
376,Telemarketing Specialist,"['business development', 'communication skill', 'negotiating', 'english', 'bahasa', 'non', 'marketing business']"
380,Financial Analyst/ Commercial Finance - FMCG Multinational Co,"['business partner', 'financial analysis', 'business planning', 'business reporting', 'revenue growth', 'marketing spending', 'write communication', 'act', 'sox', 'financial analyst', 'advising', 'investment', 'strategic decisions', 'brand', 'finance', 'forecast', 'reliable', 'rolling', 'business unit', 'dashboards', 'reflective', 'accruals', 'cross functional', 'best practice', 'management', 'optimized marketing', 'professional', 'accounting', 'remuneration']"
381,Finance Manager,"['bank statement', 'interpersonal communication', 'supervise', 'finance', 'analytical', 'investigate', 'presentation', 'statistics', 'accounting', 'legislation']"
382,SeaBank - Financial Institutions,"['financial institution', 'money market', 'fix income', 'market trend', 'financial statement', 'financial statement analysis', 'securities', 'bank', 'long term', 'treasury', 'business units', 'onboarding', 'investment', 'cooperation', 'banking', 'communication', 'negotiation']"
383,IT Security Administrator,"['security software', 'security control', 'change control', 'security awareness', 'computer science', 'security administration', 'operating system', 'network security', 'it risk management', 'risk management', 'problem solve', 'write communication', 'network system', 'consultancy', 'security services', 'infrastructure', 'policies security', 'operations', 'network server', 'operating systems', 'windows systems', 'linux', 'management staff']"
385,Risk Management & Credit Risk Senior Officer,"['risk management', 'bahasa', 'sales', 'management']"
386,IR GA Supervisor (Penempatan: Majalengka),"['people management', 'problem solve', 'decision make', 'min', 'negotiation', 'leadership']"
387,GRAPHIC DESIGNER,"['video editing', 'social medium', 'draw', 'photography', 'adaptable', 'creative']"
390,Finance Accounting Officer (Kelapa Gading),"['detail orient', 'economics', 'accounting', 'finance', 'communication skill', 'analytical']"
392,Sales & Promotion Assistant Manager - Property - Tangerang (B-66393),"['sale promotion', 'closing skill', 'japanese', 'manager', 'negotiation', 'negotiate', 'booking', 'sales', 'management level', 'communicate', 'english', 'coordinate', 'finance']"
394,Production and Service Section Manager,"['civil engineering', 'production planning', 'complaint investigation', 'engineering civil', 'leadership', 'plant layout', 'manager', 'construction', 'english', 'communication verbal', 'communication', 'license', 'planning', 'directing controlling', 'coordinating', 'operational', 'operation manager', 'management', 'operations', 'coordinate', 'estimation', 'material requirements', 'corrective action', 'calibration']"
395,System Engineer,"['computer science', 'cloud computing', 'system administration', 'performance tuning', 'gcp', 'system engineer', 'infrastructures', 'scalable', 'software developers', 'collaborating', 'solution projects', 'managing', 'monitoring systems', 'infrastructure', 'cloud developing', 'automation', 'operations', 'linux', 'nginx', 'python', 'virtualization', 'containerization', 'docker', 'kubernetes', 'automation software', 'ansible', 'terraform', 'communication', 'teamwork', 'technology business', 'leadership', 'product development']"
396,Quality Manager,"['quality control', 'data quality', 'analytical thinking', 'problem solve', 'decision make', 'manager', 'bahasa']"
397,SALES ENGINEERS,"['develop network', 'sale order', 'business sense', 'problem solve', 'manage build', 'build relationship', 'manage', 'targeted', 'build relationships', 'analytical', 'c']"
398,Channel Sales Executive,"['digital sale', 'retail sale', 'manage accounts', 'manage sales', 'accounts', 'promote products', 'develop sales', 'service customer', 'sales', 'aftersales', 'audio video', 'presentation', 'negotiation', 'microsoft officeable', 'english']"
399,Mortgage Relationship Manager (Jabodetabek),"['lending product', 'sales', 'quality services', 'product information', 'banking', 'communicate', 'targets', 'sale']"
400,Collection Supervisor,"['business strategy', 'credit management', 'team management', 'collection', 'collection system', 'team building', 'training managing', 'research', 'interaction', 'finance', 'collection management', 'loan', 'management', 'communication skill', 'english', 'negotiation', 'coordination']"
403,TAX AND ACCOUNTING MANAGER,"['income tax', 'tax return', 'tax accounting', 'accounting software', 'consultant', 'appeal', 'audit', 'management', 'accounting', 'finance', 'c', 'accounting manager', 'tax consultant', 'leadership', 'communication skills', 'english', 'bahasa', 'operate', 'myob']"
405,Senior Accountant,"['petty cash', 'bank statement', 'analytical skill', 'investment', 'accountant', 'finance', 'manager', 'vouchers', 'bank', 'management accounts', 'reconciliation', 'audit', 'storage', 'accounting', 'english']"
408,Management Development Program (MDP),"['training program', 'banking', 'audit', 'leadership', 'communication']"
409,LEARNING SOLUTIONS OFFICER,"['learn development', 'quality assurance', 'communication', 'support learning', 'cooperation', 'excellent operational', 'customer requirements', 'human resource', 'psychology', 'bahasa', 'english', 'training development', 'data analysis']"
412,Technical Trainer Alat Berat,"['technical training', 'electrical system', 'write communication', 'microsoft office', 'heavy equipment', 'track', 'plan', 'manage', 'operation maintenance', 'engine hydraulic', 'present training', 'budget', 'troubleshooting', 'engine system', 'hydraulic', 'electric system']"
413,Management System & Business Document Control,"['industrial engineering', 'program management', 'project management', 'management control', 'quantitative analysis', 'governance', 'plans project', 'planning', 'track', 'operational', 'transformation', 'cross functional', 'continuous improvement', 'budgeting processes', 'auditing', 'english']"
414,Database Administrator,"['data validation', 'database administration', 'big datum', 'data presentation', 'manage', 'system processes', 'data infrastructure', 'supporting systems', 'mysql', 'nosql', 'redis', 'communication', 'collaboration']"
415,Content Creator,"['ide', 'edit', 'edit video', 'sales']"
417,"Product Specialist (Riau, Sumatera Selatan-Jambi, Jawa Barat, Sulawesi Selatan)","['medical device', 'surgical instrument', 'health product', 'reach', 'eye', 'product specialists', 'consumable', 'provide service', 'service excellence', 'targets', 'c', 'motorcycle', 'teamwork', 'communication', 'energetic', 'self motivated', 'leadership', 'sales']"
418,INTERNAL CONTROL STAFF,"['petty cash', 'financial control', 'auditing standard', 'administrative skill', 'problem solve', 'audit', 'reconciliations', 'filing', 'accounting', 'communication', 'procedures laws', 'english', 'reading', 'writing', 'polite', 'analytical']"
419,"Branch Legal Officer (Jawa Timur, Jawa Tengan, Jawa Barat dan Jabodetabek)","['issue', 'manager', 'parameter', 'c']"
420,Marketing Executive Officer (Partnership),"['digital marketing', 'marketing executive', 'program', 'manager']"
422,IT Security Server,"['computer system', 'computer security', 'cyber security', 'standard operating procedure', 'security technology', 'business process', 'system security', 'security infrastructure', 'technical solutions', 'mitigate', 'vulnerabilities', 'automate', 'security', 'antivirus', 'firewall', 'linux', 'economy', 'revise']"
423,Purchasing & Sourcing,"['production process', 'project implementation', 'cash flow', 'income statement', 'problem solve', 'supply chain', 'analytical skill', 'com', 'designed functional', 'furnishings', 'total cost', 'social', 'purchasing', 'long term', 'sustainability', 'innovative', 'manager', 'business developer', 'production engineer', 'logistics', 'draw', 'plan', 'ethical business', 'calculations', 'new products', 'operation', 'communicate', 'management', 'data entry', 'economics', 'finance', 'negotiating', 'empathy', 'communication skills', 'coordinate', 'collaborating', 'numbers', 'negotiating prices', 'furnishing', 'english', 'presenting', 'recruitment process']"
424,Presales,"['network topology', 'project implementation', 'electrical engineering', 'computer science', 'information technology', 'analytical skill', 'planning project', 'account manager', 'telecommunication engineering', 'telecommunication', 'topology', 'network design', 'technology systems']"
425,Junior Customer Success Manager,"['email marketing', 'marketing optimization', 'digital marketing', 'continuous training', 'customer success', 'problem solve', 'verbal communication skill', 'customer engagement', 'customer retention', 'working smart', 'scale', 'landscape', 'infrastructures', 'operate', 'analytics', 'negotiate', 'onboarding', 'analytical', 'changing technology', 'prioritize', 'english', 'detail orientated', 'negotiation', 'adapt', 'tools platforms', 'analytics microsoft', 'accounts', 'communication', 'managed', 'strategic plan', 'product improvements', 'execute', 'upsell', 'troubleshooting', 'tools processes', 'unlock', 'operating markets']"
427,Section Manager Elektrik,"['autocad', 'pid', 'plc', 'bahasa']"
429,Area Manager Jambi,"['sale operation', 'management', 'accountability', 'marketing', 'marketing operational', 'leadership', 'managing', 'sales', 'operations', 'plans', 'marketing strategic', 'strategic', 'tenacity']"
430,"General Affair Mandarin (Palu, Sulawesi)","['inventory control', 'interpersonal communication', 'administrative support', 'procurement', 'voucher', 'hotel reservation', 'teamwork']"
431,"Senior Staff Finance, Accounting and Tax","['account receivable', 'financial statement', 'bank tax', 'cost accounting', 'supervise', 'accounting tax', 'bank', 'calculations', 'documentation control', 'communicate', 'government', 'operational', 'management', 'finance', 'accountancy', 'banking', 'english', 'adapt']"
432,Management Trainee,"['cash flow', 'management', 'target oriented', 'acting', 'survey', 'accounting', 'sales']"
433,Perawat Senior IGD/OK/Ranap/Rawat Jalan/Intensif/HD,"['patient safety', 'problem solve', 'ranap', 'budget', 'leadership', 'c', 'corrective action', 'skill basic', 'basic life']"
434,STAFF EXPORT IMPORT,"['communication skill', 'government', 'export import', 'english']"
435,Junior Recruitment Advisor,"['business development', 'japanese', 'recruitment process', 'system communicate', 'negotiate', 'sales', 'english', 'communication', 'negotiation']"
436,Merchandiser (MD) - Baturaja,"['adobe illustrator', 'merchandiser', 'illustrator', 'photoshop adobe']"
437,Motorcycle Engineer Design,"['english language', 'catia', 'toefl', 'toeic', 'design layout', 'motorcycle', 'mechanical design', 'electrical design', 'electric', 'speedometer', 'drawing', 'engineering requirement', 'design information', 'electrical', 'mechatronics', 'design engineer', 'spare parts']"
440,Sales Consultant,"['business development', 'toefl', 'executive recruiter', 'sales', 'recruitment consultant', 'recruitment process', 'sourcing', 'editing', 'preparing documents', 'communicating', 'track', 'english', 'bahasa']"
442,Medical Representative Probolinggo,"['food technology', 'microsoft excel', 'business development', 'marketing strategy', 'dietetics', 'non', 'marketing business', 'executes', 'targeted', 'brand', 'equity', 'health care', 'supervision', 'value added', 'marketing develops', 'professional', 'business sales', 'government policy', 'plan', 'integrated']"
443,Customer Service Agent,"['hospitality industry', 'financial datum', 'csa', 'personality profileable', 'room data', 'operational', 'product information']"
444,Human Resource Management,"['human resource management', 'resource management', 'analytical thinking', 'coordination', 'bridging', 'management', 'basic accounting', 'human resources', 'psychology', 'verbal communication', 'english', 'communication skills', 'trustworthy', 'managing', 'positive attitude', 'energetic', 'personal development']"
445,SUPERVISOR LEGAL,"['case', 'logistic', 'omni', 'area']"
446,E COMMERCE SUPERVISIOR,"['online market', 'fifo', 'energetic', 'innovative']"
448,IT SUPPORT - SURABAYA,"['lan', 'cctv', 'troubleshooting', 'installing', 'implement system', 'network tools']"
452,Principal Hookup & Commission Tech (Process Mechanical Commissioning ),"['oil and gas', 'technology solution', 'execute', 'mechanical', 'commissioning', 'system mechanical', 'function test', 'lock', 'project process', 'sail', 'coordinate', 'safe', 'integrated', 'technology engineering', 'construction', 'infrastructure', 'wellhead', 'storage tank', 'transform oil', 'accountable', 'creative', 'reliable', 'hook']"
453,Procurement Process Staff - Jakarta,"['process improvement', 'procurement', 'enthusiasm', 'communication', 'consulting', 'track', 'collaborating', 'cross functional', 'english', 'purchase', 'negotiate price']"
454,HEAD OF MARKETING COMMUNICATION & PARTNERSHIP,"['digital marketing', 'brand awareness', 'detail orient', 'strategi communication', 'digital brand', 'communication brand', 'media digital', 'real time', 'brand']"
455,Marketing Executive,"['willingness to learn', 'detail orient', 'social medium', 'digital marketing', 'marketing communication', 'public relation', 'relationship building', 'organizational skill', 'marketing planning', 'content creation', 'social medium management', 'medium management', 'brand awareness', 'press release', 'marketing material', 'creative', 'analytical', 'executing', 'manage time', 'multitask', 'management', 'writing', 'english', 'bahasa', 'advertising', 'prioritize', 'self motivated', 'execute', 'marketing plan', 'brand', 'marketing media', 'media core', 'budget', 'managing', 'agenda', 'plan media', 'photography', 'manage', 'image', 'real time', 'comments']"
456,Experience Consulting - Digital Banking Analyst - Senior Associate,"['professional service', 'business requirement', 'user story', 'exception handling', 'functional requirement', 'customer value proposition', 'value proposition', 'self awareness', 'critical thinking', 'act', 'consulting', 'innovate', 'costs manage', 'manage risk', 'support businesses', 'designing managing', 'executing', 'scale', 'transformation', 'consultancy', 'governments', 'create value', 'experimental', 'creative', 'innovation', 'banks', 'manage', 'banking', 'creative problem', 'solve complex', 'customer interactions', 'managing relationship', 'translating', 'process flows', 'flows user', 'testable', 'automated', 'integration', 'integrated', 'scrum', 'digital service', 'onboarding', 'bank', 'professional', 'management level', 'communication', 'read', 'added value']"
457,PMN Operations - Manager,"['public health', 'manage', 'operations', 'claim', 'communication', 'report suspicious', 'doctor pharmacy', 'nursing', 'life insurance', 'claim process', 'knowledge process', 'sustainable']"
458,Product QA Intern,"['quality assurance', 'case', 'product team', 'hygiene', 'localization', 'translated', 'ad hoc', 'english', 'literacy']"
459,UX Writer - Contract Based,"['financial service', 'financial literacy', 'content creation', 'user research', 'behavioral science', 'constructive feedback', 'customer experience', 'design thinking', 'content strategy', 'ux writing', 'usability testing', 'a b testing', 'collaboration tool', 'case', 'innovations', 'collaborate', 'manager', 'prioritize', 'milestones', 'investment', 'decision making', 'iterating', 'psychology', 'creative', 'usability', 'communicate', 'touchpoints', 'cross functional teams', 'interaction', 'benchmark', 'manage', 'documentation good', 'communication skills', 'solve problems', 'bahasa', 'english', 'presentation', 'writing']"
461,Business Process Specialist,"['business process', 'business process management', 'process management', 'swot analysis', 'detail orient', 'designing corporate', 'operational', 'conceptual', 'analytical', 'operating']"
462,"Team Leader Merchandiser (Jabodetabek, Jawa Barat, Jawa Timur, Jawa Tengah)","['plan', 'manage', 'operations', 'targets', 'parameters', 'coordinate', 'supervise', 'plan develop', 'employee performance', 'business reports', 'communicate', 'business plan', 'operation manager', 'adapt']"
465,Scrum Master,"['scrum master', 'professional', 'scrum', 'backlog']"
466,Kepala Administrasi,"['leadership', 'finance', 'sales', 'bank']"
467,Village Director,"['family child care', 'social science', 'social work', 'community development', 'human resource management', 'resource management', 'microsoft office', 'work with child', 'child protection', 'child care', 'families care', 'management leadership', 'educational sciences', 'psychology social', 'leadership', 'management level', 'management', 'psychology', 'english', 'communication', 'long term', 'professional', 'basic process', 'basic training']"
468,Junior System Analyst - Office Automation (Kalimantan Selatan),"['system requirement', 'system requirement specification', 'requirement specification', 'operation']"
469,INSPECTOR SERANG,"['cms', 'c', 'sales', 'appraiser']"
470,OPERATIONS MAINTENANCE (LAND TRANSPORT / TRUCKING ),"['operations', 'plan', 'operational audit', 'licenses', 'engineering mechanical', 'manager', 'logistic']"
471,Sales Staff - Cikarang,"['automotive industry', 'japanese', 'automotive manufacturing', 'sales', 'quotation']"
472,SALES AND MARKETING ASISSTANT,"['persistent', 'adapt', 'numbers', 'track', 'plan', 'sales', 'marketing database', 'editing', 'administrative support']"
473,Leader Functional Consultant ERP,"['business requirement', 'gap analysis', 'computer science', 'software development', 'case', 'documentation based', 'translate', 'blueprint', 'document user', 'tutorial', 'session', 'advise', 'bridge', 'communication', 'technical communicate', 'consultant', 'managing', 'implementation projects', 'communication skill', 'presentation']"
474,Full Stack Website Developer,"['source code', 'front end', 'back end', 'website architecture', 'problem solve', 'website management', 'html', 'css', 'vue', 'node', 'sql', 'sql database', 'management', 'verbal communication']"
475,Internal Audit Assistant Manager,"['risk management', 'external auditor', 'critical thinking', 'audit', 'control management', 'operations', 'reliability', 'accounting', 'flowcharts', 'source', 'communication', 'management', 'finance', 'accountancy', 'internal audit', 'analytical', 'java']"
477,Manager Tax & Pajak,"['english', 'bahasa', 'gross', 'audit']"
478,IT IMPLEMENTOR,"['problem solve', 'query language', 'payment system', 'management', 'bahasa', 'sybase', 'mysql', 'sql server', 'sql', 'life cycle', 'banking', 'system payment']"
479,PI-RND,"['scale', 'reading', 'writing', 'commissioning', 'process flow', 'baking', 'frying']"
483,Account Officer,"['microsoft office', 'strategic business', 'answering questions', 'customer requirements', 'sales', 'consultant', 'english', 'telemarketing', 'filing', 'track', 'agile', 'collaborative']"
486,Head of Audit Internal,"['general insurance', 'accounting software', 'auditing standard', 'risk management', 'risk aversion', 'internal auditor', 'accounting', 'finance', 'procedures laws', 'analytical', 'audit', 'control management', 'operations', 'reliability', 'internal audit', 'flowcharts', 'source', 'communication', 'management', 'audits', 'best practices']"
487,Brand Marketing Manager,"['digital marketing', 'reach', 'manager', 'manager branding', 'brand', 'plan', 'planning', 'creative', 'communication', 'manage', 'budget', 'performance manage', 'timeline']"
488,Management Trainee,"['cash flow', 'management', 'target oriented', 'acting', 'survey', 'accounting', 'sales']"
489,Information Manager,"['social medium', 'medium relation', 'fact check', 'organizational skill', 'environmental issue', 'information based', 'information manager', 'tracking', 'clean air', 'catalyst', 'supervise', 'support staff', 'collecting', 'air pollution', 'international development', 'collected', 'open ended', 'spreadsheet', 'sharing information', 'sms', 'hotlines', 'bulletins', 'leadership', 'execute timely', 'consultancy', 'authorization', 'closing', 'supporting positive', 'innovation', 'justice', 'socioeconomic', 'supervising', 'collection', 'data analysis', 'executing', 'targeted', 'track', 'journalism', 'program manager', 'innovative', 'quality information', 'counters', 'communities collaborate', 'research', 'demonstrated skill', 'bahasa', 'english', 'resourceful', 'communications', 'government', 'genetic']"
496,Account Manager / Sales for IT System Integrator ( IT Project Solution ),"['system integration', 'marketing strategy', 'gross profit', 'act', 'account manager', 'manager sales', 'system integrator', 'project solution', 'sales', 'managing accounts', 'managing key', 'accounts', 'long term', 'managing', 'presentation', 'negotiating', 'communication', 'building managing', 'target oriented', 'data customer', 'communicate', 'english', 'self motivated']"
497,ENGINEERING SUPERVISOR,"['machining electrical', 'hvac', 'boiler', 'genset']"
502,IT Support,"['software installation', 'information technology', 'computer system', 'mobile device', 'lan', 'troubleshoot networking', 'installation', 'infrastructure', 'firewall', 'switch', 'daily report']"
505,HR Supervisor,"['human resource management', 'resource management', 'write english', 'talent management', 'non verbal communication', 'time management', 'logical reasoning', 'psychology', 'english', 'onboarding', 'ats', 'description designing', 'professional', 'social', 'source', 'hosting', 'management']"
507,SYSTEM ENGINEER,"['system implementation', 'computer science', 'computer engineering', 'willingness to learn', 'gcp', 'installing', 'installation', 'write', 'manage', 'hive', 'hbase', 'system performance', 'unix', 'linux', 'microsoft windows', 'scripting', 'bash', 'powershell', 'python', 'new product', 'self motivated']"
508,Desk Collection Assistant Manager (Mandarin Speaker),"['financial service', 'english', 'non', 'banking', 'management', 'financial management', 'collection management', 'collection', 'manager', 'manage', 'bridge']"
510,Talent & Culture Manager,"['employee benefit', 'corporate social responsibility', 'performance appraisal', 'problem solve', 'act', 'manager', 'working environment', 'coordination', 'supervise', 'c', 'government', 'coordinate', 'requisitioning', 'training development', 'advisory', 'management reports', 'budget', 'supervises', 'management', 'leadership', 'diversity inclusion', 'professional development']"
511,IT Asset & Admin,"['incident management', 'asset management', 'imac', 'antivirus', 'unit', 'budget', 'timeline', 'track']"
513,Marketing Admission & Student Recruitment,"['social medium', 'sales', 'bahasa', 'c', 'target oriented']"
515,PERSONAL ASSISTANT OWNER,"['communication', 'negotiation', 'multitasking', 'management']"
516,STORE MANAGER,"['team build', 'cost control', 'profit margin', 'ide', 'manager', 'analytical', 'budget', 'trend market', 'vm', 'service excellent', 'continuous improvement']"
518,Schedule Controller,"['project schedule', 'track', 'real time', 'schedule', 'project processes', 'managing change', 'planned', 'english']"
519,Digital Marketing,"['digital marketing', 'marketing strategy', 'social medium', 'customer experience', 'project management', 'seo', 'research', 'benchmarking', 'marketing content', 'social', 'analytical', 'track', 'marketing collaterals', 'ads', 'troubleshooting', 'adaptability', 'positive attitude']"
520,IT Service Desk,"['occupational health', 'information technology', 'critical thinking', 'organizational skill', 'detail orient', 'information services', 'troubleshooting', 'dispatch', 'system monitoring', 'installing', 'multimedia', 'data networks', 'communication']"
521,Server Engineer,"['data center', 'disaster recovery', 'blade server', 'management', 'kali', 'c']"
522,AREA SALES MANAGER,"['problem solve', 'microsoft office', 'fast move consumer good', 'sbb', 'leadership', 'sales manager', 'area market', 'mapping', 'sales', 'managing stock', 'android']"
524,Account Manager,"['financial service', 'service industry', 'logistics', 'delivery services', 'operations', 'massive', 'operational', 'algorithm', 'tracking', 'data driven', 'sales', 'logistic', 'upselling', 'read']"
526,Sales Marketing,"['social medium', 'online marketing', 'project management', 'manage', 'planning', 'executing and', 'marketing and', 'sales', 'copywritingstrong']"
527,DIGITAL MARKETING,"['social medium', 'social medium campaign', 'marketing communication', 'public relation', 'jd', 'managing', 'line communications', 'brainstorming', 'planning', 'management', 'writing', 'editing', 'reading', 'communicate', 'analytical', 'landscape']"
528,New Channel Development,"['customer satisfaction', 'sales', 'targets', 'promotion strategy']"
529,"Key Account Manager - Departement Store, Retail","['marketing strategy', 'value chain', 'point of sale', 'business marketing', 'write communication', 'accounts', 'managing accounts', 'managing key', 'business managers', 'plans', 'brand', 'planogram', 'merchandising', 'sales', 'forecast', 'budget', 'm', 'investment', 'english', 'analytical', 'communication', 'negotiation']"
530,Senior PHP Developer / Programmer,"['source code', 'php', 'laravel', 'postgresql', 'github', 'timeline', 'manager']"
535,Field Specialist II - Wireline Services,"['service delivery', 'remote operation', 'compliance requirement', 'reach', 'oilfield services', 'business units', 'develop software', 'innovation', 'automation', 'analytics', 'machine learning', 'complex problems', 'logging', 'actuating', 'drill', 'safely', 'logistics', 'communicate', 'prioritize', 'milestones', 'communication', 'manager', 'invest', 'life insurance', 'disability', 'operations', 'color']"
536,HR Intern,"['industrial engineering', 'recruitment process', 'scheduling', 'manage', 'branding', 'psychology', 'management', 'multitasking', 'communication', 'english']"
538,Marketing Staff,"['marketing analytic', 'social medium', 'web analytic', 'food technology', 'adobe photoshop', 'market research', 'employ marketing', 'coordinate', 'advertising', 'activities manage', 'presentations', 'marketing business', 'english', 'illustrator']"
540,Internal Audit Staf:,"['financial statement', 'key control', 'problem solve', 'executing', 'audit process', 'plan', 'accounts', 'audit', 'audit report', 'flow process', 'analytical', 'auditing', 'writing', 'communication skills', 'english']"
541,ONSITE ENGINEER,"['technical support', 'computer science', 'information technology', 'engineering computer', 'telecommunication', 'database sql', 'operating', 'communication', 'project based']"
544,Content Creator,"['social medium', 'social medium marketing', 'marketing material', 'visual communication', 'graphic design', 'video editing', 'schedule', 'media social', 'operating', 'photography', 'videography']"
546,Node.JS Developer (Jakarta - Yogyakarta),"['problem solve', 'payment gateway', 'web application', 'google hangout', 'api', 'node', 'linux', 'unix', 'javascript', 'mysql', 'rest api', 'agile development']"
547,Finance Controller,"['cost accounting', 'revenue recognition', 'technical accounting', 'business process', 'internal control', 'financial statement', 'cash flow', 'tax preparation', 'manage', 'accounting', 'operations', 'billing', 'research', 'government', 'budget', 'financial forecasts', 'forecast', 'forecasts', 'coordinate', 'tax accountants', 'consultant']"
550,Sales Supervisor - Bekasi,"['expense report', 'market area', 'analytical thinking', 'professional', 'sales', 'management build', 'customer relationships', 'forecast', 'manager', 'supervise', 'sales performance', 'plan', 'managing controlling', 'energetic', 'target oriented', 'leadership', 'communication', 'negotiation', 'sales retail', 'english']"
551,Property Sales Agent,"['time management', 'verbal communication', 'english', 'communication skills', 'multitask']"
552,Operator Produksi,"['com', 'data', 'weaving', 'operator', 'molding']"
554,Culinaria Kitchen Executive,"['market intelligence', 'cooking', 'professional', 'chef']"
555,Back End Engineer,"['back end', 'version control', 'bahasa', 'php', 'database sql', 'energetic']"
558,Platform Drafter,"['microsoft office', 'drawings', 'drawing work', 'autocad', 'telecommunication', 'english', 'telecommunications', 'communication skills', 'teamwork', 'coordination']"
560,Trade Marketing Manager,"['product assortment', 'problem solve', 'plan', 'tracking', 'promos', 'promo', 'claims', 'merchandising', 'branding', 'budget', 'liner', 'market trends', 'market channel', 'sales', 'innovative', 'collaboration', 'communication skill', 'leadership']"
562,PROJECT CARGO STAFF,"['project cargo', 'freight forwarding', 'write english', 'computer literacy', 'logistics', 'freight', 'export import', 'surveys', 'communication', 'coordination', 'negotiation']"
563,Accounting Supervisor,"['balance sheet', 'bank reconciliation', 'account payable', 'fix asset', 'fix asset register', 'big datum', 'accounting record', 'accounting', 'documents preparing', 'accounts receivables', 'depreciation', 'reconciliation', 'physical system', 'system issuing', 'billing', 'archiving', 'accounting projects', 'perspective', 'multitasking', 'work environment']"
564,Kapster,"['waxing', 'massage', 'manicure', 'pedicure']"
