id,job_title,skills
46,Senior Manager - Manufacturing Operations,"['manufacture operation', 'quality cost delivery', 'strategy execution', 'hair care', 'material flow', 'production schedule', 'production line', 'manufacturing process', 'quality control', 'supply chain', 'supply chain management', 'chemical engineering', 'industrial engineering', 'mechanical engineering', 'electrical engineering', 'middle management', 'soap', 'consumer goods', 'leadership innovation', 'innovations', 'creative', 'manager', 'leadership', 'productivity quality', 'dms', 'operational plans', 'functional objectives', 'operations', 'quality cost', 'quality service', 'targets', 'product functionality', 'develop budget', 'budget controls', 'plans', 'collaborate', 'operational', 'managers', 'logistics', 'sales', 'develop plans', 'cost estimates', 'schedules', 'integrating', 'continuous improvement', 'key performance', 'supervise', 'coordinate', 'electronics engineer', 'operations manager', 'process', 'process engineer', 'analytical', 'think strategically', 'innovation', 'communications', 'collaborative', 'color', 'disability', 'hiv']"
48,ACCOUNTING,"['cash flow', 'packaging food', 'voucher', 'accounting', 'manager']"
49,IT Support,"['computer security', 'operating system', 'window server', 'service provider', 'internet service', 'internet service provider', 'information technology', 'problem solve', 'troubleshooting', 'network pc', 'antivirus', 'integrate', 'hosting', 'leadership', 'analytical', 'conceptual', 'presentation']"
51,Electrical Engineer,"['business to business', 'quality assurance', 'problem solve', 'technical drawing', 'electrical system', 'electrical engineering', 'electrical', 'pump', 'pump specialist', 'commercial building', 'oil gas', 'pumps', 'energetic', 'trustworthy', 'panel controller', 'plc', 'budgeting', 'estimating', 'operational', 'mechanical engineer', 'mechanical', 'drawing technical', 'presentation', 'pre sales', 'consultancy', 'trainings technical', 'designing experience', 'verbal communication', 'autocad', 'responsible ethical']"
52,Solution Sales Executive - SuccessFactors,"['value proposition', 'account planning', 'target account', 'regional sale', 'market share', 'business software', 'enterprise resource planning', 'resource planning', 'erp', 'com', 'innovation', 'collaborative', 'sales executive', 'advisory', 'business plan', 'plan', 'successfactors', 'forecast', 'acting', 'add value', 'sales manager', 'execute programs', 'sales cycles', 'sales', 'new business', 'accounts', 'best practices', 'track', 'innovations', 'leadership', 'analytics', 'management', 'personal development', 'invest', 'disabilities', 'operations', 'm', 'disability', 'childbirth']"
53,SOM (Sales Operation Manager),"['sale operation', 'fast move consumer good', 'visi', 'manager']"
57,Account Payable Officer,"['account payable', 'expense report', 'document preparation', 'record management', 'purchase', 'accounts', 'finance', 'accounting']"
58,Batching Plant Spv Gempol,"['production planning', 'engineering civil', 'leadership', 'construction', 'english', 'communication', 'license', 'java', 'material requirement', 'planning production', 'manage', 'plan', 'human resource', 'government', 'schedule']"
61,Tax Staff,"['accounting system', 'microsoft office', 'withhold tax', 'hospitality', 'finance', 'accounting', 'operate', 'preparing tax']"
63,Teknisi Site Rantau dan Cikarang,"['detail orient', 'hydropower', 'visi', 'quality services']"
